filename,keyword_counts
lowyat_20170713_4357977_PH   Duit rakyat.csv,14
lowyat_20170306_4215140_amboi rafizi   .csv,14
lowyat_20170419_4270374_BN Leaders Tells Guan Eng  Penang Already Facing.csv,14
lowyat_20170620_4333219_Pakatan Offers To Sabah   Sarawak  Equal Partners.csv,14
lowyat_20170704_4347273_Drastic change in Kelantan after GE14.csv,14
lowyat_20170120_4179631_Survey  BN Could Win Two Thirds Majority.csv,14
lowyat_20170514_4289315_Anwar  puzzled  by PAS  move to cut ties with PKR.csv,14
lowyat_20170521_4296206_Dr M signs petition to free Anwar.csv,14
lowyat_20170613_4325543_MO1 may lose his Pekan seat in GE14 because of.csv,14
lowyat_20170425_4274818_Rafizi  Adam Rosly used to be PAS member.csv,14
lowyat_20170523_4298734_Mahathir game is strong boi.csv,14
lowyat_20170214_4196848_ RPK  MAHATHIR MEETS ANWAR TO PREEMPT THE RCI.csv,14
lowyat_20170622_4336034_Wan Azizah  Pakatan Harapan Postpones Registration.csv,14
lowyat_20170430_4279261_Muktamar PAS Ke 63  Sebulat Suara Luluskan Usul.csv,14
lowyat_20170511_4286365_BIG BLOW TO NAJIB 44 Hisham  Khairy beat Najib.csv,14
lowyat_20170725_4369449_Penang MCA  At RM7 5billion  Penang Govt Had Plan.csv,14
lowyat_20170219_4200700_Dr Mahathir  Kit Siang Can t Become PM As.csv,14
lowyat_20170125_4183283_Johor MB  DAP Lim Kit Siang Diramal Tidak Akan.csv,14
lowyat_20170601_4306175_PKR leader predicts 1MDB generated.csv,14
lowyat_20170421_4271692_Poor PH.csv,14
lowyat_20170716_4361735_Selangor MB Azmin  DAP Not Sidelined From.csv,13
lowyat_20170307_4216430_Naib Presiden PAS  Korea Utara Diminta.csv,13
lowyat_20170106_4168693_Zaid  Malays no longer afraid of DAP.csv,13
lowyat_20170408_4257025_Dr M  I ll help get Anwar out   .csv,13
lowyat_20170228_4209060_BN Fitnah DAP lagi  Sila saman atau     .csv,13
lowyat_20170505_4282392_PKR vs PKR.csv,13
lowyat_20170325_4233487_UMNO   MCA  Apa Agenda Lim Kit Siang Sering.csv,13
lowyat_20170429_4278292_Presiden MCA  Rakyat Diminta Jangan Mudah.csv,13
lowyat_20170405_4249028_DAP  What s become of  laptop for every student .csv,13
lowyat_20170508_4284048_Datin Paduka Seri Rosmah Mansor .csv,13
lowyat_20170718_4362789_Dr Mahathir  Pakatan To Grill AG Apandi Over 1MDB.csv,13
lowyat_20170327_4238969_ Hadi mahu selamatkan Najib  bukan Malaysia .csv,13
lowyat_20170112_4172907_DAP Sarawak  Wants Road Named After Adenan And.csv,13
lowyat_20170416_4267596_PM  Kerajaan Barisan Nasional  BN  Akan Terus.csv,13
lowyat_20170501_4279617_T ganu rep sues to stop Umno.csv,13
lowyat_20170107_4168941_Non Muslim more accepting of Hadi s Bill now  PAS.csv,13
lowyat_20170502_4280150_PAS not the type to pick fights  says Hadi.csv,13
lowyat_20170510_4285677_PKR Azmin  Sedia Berjumpa Dengan Hadi Awang.csv,13
lowyat_20170502_4280420_Datuk Saharudin  Pakatan Jangan Mimpi Rampas Perak.csv,13
lowyat_20170328_4240159_No issue big enough to dethrone BN  .csv,13
lowyat_20170525_4300115_PAS stay as Selangor Exco.csv,13
lowyat_20170419_4270642_Quotas insult the Malays  says Khairy.csv,13
